score,word_count,cell_count,has_verbish,has_nounish,phrase,word1,instance_id1,start1,end1,path1,word2,instance_id2,start2,end2,path2
7,2,6,True,False,is find,is,0,D1,E2,D1 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1
7,2,6,True,False,is find,is,0,D1,E2,D1 -> E2,find,2,E1,G2,E1 -> F1 -> G1 -> G2
3,2,4,True,False,is in,is,0,D1,E2,D1 -> E2,in,3,F1,G1,F1 -> G1
3,2,4,True,False,is of,is,0,D1,E2,D1 -> E2,of,11,F2,E1,F2 -> E1
3,2,4,True,False,is on,is,0,D1,E2,D1 -> E2,on,12,F2,G1,F2 -> G1
3,2,3,True,False,is a,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3
15,2,7,True,False,find the,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2
15,2,7,True,False,find the,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2
15,2,5,True,False,find a,find,1,E1,H1,E1 -> F1 -> G1 -> H1,a,13,H2,H2,H2
11,2,6,True,False,find at,find,1,E1,H1,E1 -> F1 -> G1 -> H1,at,17,H2,I1,H2 -> I1
15,2,5,True,False,find a,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,13,H2,H2,H2
15,2,5,True,False,find a,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,39,F3,F3,F3
11,2,6,True,False,find at,find,2,E1,G2,E1 -> F1 -> G1 -> G2,at,17,H2,I1,H2 -> I1
5,2,3,False,False,in a,in,3,F1,G1,F1 -> G1,a,13,H2,H2,H2
3,2,4,False,False,in of,in,3,F1,G1,F1 -> G1,of,11,F2,E1,F2 -> E1
3,2,4,False,False,in at,in,3,F1,G1,F1 -> G1,at,17,H2,I1,H2 -> I1
3,2,4,True,False,is of,is,4,F1,E2,F1 -> E2,of,11,F2,E1,F2 -> E1
3,2,4,True,False,is on,is,4,F1,E2,F1 -> E2,on,12,F2,G1,F2 -> G1
3,2,3,True,False,is a,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3
7,2,6,True,False,the get,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2
7,2,5,True,False,the go,the,5,I1,I2,I1 -> J1 -> I2,go,43,J3,K3,J3 -> K3
3,2,6,False,False,the and,the,5,I1,I2,I1 -> J1 -> I2,and,15,H2,H1,H2 -> G1 -> H1
3,2,6,False,False,the and,the,5,I1,I2,I1 -> J1 -> I2,and,16,H2,G2,H2 -> G1 -> G2
3,2,5,False,False,the an,the,5,I1,I2,I1 -> J1 -> I2,an,14,H2,G1,H2 -> G1
3,2,4,False,False,the a,the,5,I1,I2,I1 -> J1 -> I2,a,13,H2,H2,H2
16,2,8,True,True,the start,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1
11,2,6,False,True,the two,the,6,I1,J2,I1 -> J1 -> J2,two,21,K2,K3,K2 -> L3 -> K3
11,2,6,False,True,the one,the,6,I1,J2,I1 -> J1 -> J2,one,45,K3,K4,K3 -> L4 -> K4
11,2,6,False,True,the one,the,6,I1,J2,I1 -> J1 -> J2,one,46,K3,M5,K3 -> L4 -> M5
7,2,5,True,False,the go,the,6,I1,J2,I1 -> J1 -> J2,go,43,J3,K3,J3 -> K3
3,2,5,False,False,the to,the,6,I1,J2,I1 -> J1 -> J2,to,20,K2,K3,K2 -> K3
3,2,5,False,False,the on,the,6,I1,J2,I1 -> J1 -> J2,on,44,K3,L4,K3 -> L4
22,2,9,True,True,start nine,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,nine,23,M2,K4,M2 -> M3 -> L4 -> K4
22,2,9,True,True,start nine,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,nine,24,M2,M5,M2 -> M3 -> L4 -> M5
21,2,7,True,True,start an,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,an,27,N2,M2,N2 -> M2
21,2,6,True,True,start a,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,a,25,N2,N2,N2
11,2,5,False,True,a nine,a,8,L1,L1,L1,nine,23,M2,K4,M2 -> M3 -> L4 -> K4
11,2,5,False,True,a nine,a,8,L1,L1,L1,nine,24,M2,M5,M2 -> M3 -> L4 -> M5
11,2,4,False,True,a two,a,8,L1,L1,L1,two,21,K2,K3,K2 -> L3 -> K3
7,2,3,True,False,a go,a,8,L1,L1,L1,go,22,L2,K3,L2 -> K3
3,2,4,False,False,a the,a,8,L1,L1,L1,the,18,K2,I2,K2 -> J1 -> I2
3,2,4,False,False,a the,a,8,L1,L1,L1,the,19,K2,J2,K2 -> J1 -> J2
3,2,3,False,False,a to,a,8,L1,L1,L1,to,20,K2,K3,K2 -> K3
10,2,5,False,True,at one,at,9,L1,K2,L1 -> K2,one,45,K3,K4,K3 -> L4 -> K4
10,2,5,False,True,at one,at,9,L1,K2,L1 -> K2,one,46,K3,M5,K3 -> L4 -> M5
7,2,5,True,False,at get,at,9,L1,K2,L1 -> K2,get,40,J3,I1,J3 -> I2 -> I1
7,2,5,True,False,at get,at,9,L1,K2,L1 -> K2,get,41,J3,I1,J3 -> J2 -> I1
7,2,4,True,False,at go,at,9,L1,K2,L1 -> K2,go,22,L2,K3,L2 -> K3
7,2,4,True,False,at go,at,9,L1,K2,L1 -> K2,go,43,J3,K3,J3 -> K3
3,2,4,False,False,at on,at,9,L1,K2,L1 -> K2,on,44,K3,L4,K3 -> L4
7,2,4,True,False,an go,an,10,L1,M2,L1 -> M2,go,22,L2,K3,L2 -> K3
3,2,4,False,False,an at,an,10,L1,M2,L1 -> M2,at,26,N2,N1,N2 -> N1
3,2,4,False,False,an in,an,10,L1,M2,L1 -> M2,in,48,M3,L4,M3 -> L4
3,2,3,False,False,an a,an,10,L1,M2,L1 -> M2,a,25,N2,N2,N2
3,2,4,True,False,of is,of,11,F2,E1,F2 -> E1,is,0,D1,E2,D1 -> E2
3,2,4,False,False,of in,of,11,F2,E1,F2 -> E1,in,3,F1,G1,F1 -> G1
3,2,4,True,False,of is,of,11,F2,E1,F2 -> E1,is,4,F1,E2,F1 -> E2
5,2,3,False,False,on a,on,12,F2,G1,F2 -> G1,a,13,H2,H2,H2
3,2,4,True,False,on is,on,12,F2,G1,F2 -> G1,is,4,F1,E2,F1 -> E2
3,2,4,False,False,on at,on,12,F2,G1,F2 -> G1,at,17,H2,I1,H2 -> I1
3,2,4,False,False,a the,a,13,H2,H2,H2,the,5,I1,I2,I1 -> J1 -> I2
3,2,4,False,False,a the,a,13,H2,H2,H2,the,6,I1,J2,I1 -> J1 -> J2
3,2,4,True,False,an is,an,14,H2,G1,H2 -> G1,is,4,F1,E2,F1 -> E2
3,2,4,False,False,an of,an,14,H2,G1,H2 -> G1,of,11,F2,E1,F2 -> E1
3,2,6,False,False,and the,and,15,H2,H1,H2 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2
3,2,6,False,False,and the,and,15,H2,H1,H2 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2
3,2,5,True,False,and is,and,16,H2,G2,H2 -> G1 -> G2,is,4,F1,E2,F1 -> E2
3,2,5,False,False,and of,and,16,H2,G2,H2 -> G1 -> G2,of,11,F2,E1,F2 -> E1
3,2,4,False,False,and a,and,16,H2,G2,H2 -> G1 -> G2,a,39,F3,F3,F3
7,2,6,True,False,the get,the,18,K2,I2,K2 -> J1 -> I2,get,41,J3,I1,J3 -> J2 -> I1
7,2,5,True,False,the go,the,18,K2,I2,K2 -> J1 -> I2,go,43,J3,K3,J3 -> K3
3,2,6,False,False,the and,the,18,K2,I2,K2 -> J1 -> I2,and,15,H2,H1,H2 -> G1 -> H1
3,2,6,False,False,the and,the,18,K2,I2,K2 -> J1 -> I2,and,16,H2,G2,H2 -> G1 -> G2
3,2,5,False,False,the an,the,18,K2,I2,K2 -> J1 -> I2,an,14,H2,G1,H2 -> G1
3,2,5,False,False,the at,the,18,K2,I2,K2 -> J1 -> I2,at,17,H2,I1,H2 -> I1
3,2,4,False,False,the a,the,18,K2,I2,K2 -> J1 -> I2,a,13,H2,H2,H2
11,2,6,False,True,the one,the,19,K2,J2,K2 -> J1 -> J2,one,45,K3,K4,K3 -> L4 -> K4
11,2,6,False,True,the one,the,19,K2,J2,K2 -> J1 -> J2,one,46,K3,M5,K3 -> L4 -> M5
7,2,6,True,False,the get,the,19,K2,J2,K2 -> J1 -> J2,get,40,J3,I1,J3 -> I2 -> I1
7,2,5,True,False,the go,the,19,K2,J2,K2 -> J1 -> J2,go,43,J3,K3,J3 -> K3
3,2,5,False,False,the on,the,19,K2,J2,K2 -> J1 -> J2,on,44,K3,L4,K3 -> L4
10,2,5,False,True,to end,to,20,K2,K3,K2 -> K3,end,59,K4,K5,K4 -> L4 -> K5
10,2,5,False,True,to end,to,20,K2,K3,K2 -> K3,end,60,K4,K5,K4 -> L5 -> K5
7,2,5,True,False,to get,to,20,K2,K3,K2 -> K3,get,40,J3,I1,J3 -> I2 -> I1
7,2,5,True,False,to get,to,20,K2,K3,K2 -> K3,get,41,J3,I1,J3 -> J2 -> I1
5,2,3,False,False,to a,to,20,K2,K3,K2 -> K3,a,58,J4,J4,J4
13,2,6,False,True,two end,two,21,K2,K3,K2 -> L3 -> K3,end,59,K4,K5,K4 -> L4 -> K5
13,2,6,False,True,two end,two,21,K2,K3,K2 -> L3 -> K3,end,60,K4,K5,K4 -> L5 -> K5
12,2,6,True,True,two get,two,21,K2,K3,K2 -> L3 -> K3,get,40,J3,I1,J3 -> I2 -> I1
12,2,6,True,True,two get,two,21,K2,K3,K2 -> L3 -> K3,get,41,J3,I1,J3 -> J2 -> I1
8,2,4,False,True,two a,two,21,K2,K3,K2 -> L3 -> K3,a,58,J4,J4,J4
16,2,5,True,True,go end,go,22,L2,K3,L2 -> K3,end,59,K4,K5,K4 -> L4 -> K5
16,2,5,True,True,go end,go,22,L2,K3,L2 -> K3,end,60,K4,K5,K4 -> L5 -> K5
15,2,5,True,False,go get,go,22,L2,K3,L2 -> K3,get,40,J3,I1,J3 -> I2 -> I1
15,2,5,True,False,go get,go,22,L2,K3,L2 -> K3,get,41,J3,I1,J3 -> J2 -> I1
15,2,5,True,False,go get,go,22,L2,K3,L2 -> K3,get,42,J3,K2,J3 -> J2 -> K2
15,2,5,True,False,go the,go,22,L2,K3,L2 -> K3,the,18,K2,I2,K2 -> J1 -> I2
15,2,5,True,False,go the,go,22,L2,K3,L2 -> K3,the,19,K2,J2,K2 -> J1 -> J2
15,2,3,True,False,go a,go,22,L2,K3,L2 -> K3,a,58,J4,J4,J4
12,2,7,True,True,nine get,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,get,40,J3,I1,J3 -> I2 -> I1
12,2,7,True,True,nine get,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,get,41,J3,I1,J3 -> J2 -> I1
12,2,7,True,True,nine get,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,get,42,J3,K2,J3 -> J2 -> K2
12,2,6,True,True,nine go,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,go,43,J3,K3,J3 -> K3
8,2,6,False,True,nine in,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,in,73,J5,J6,J5 -> J6
8,2,5,False,True,nine a,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,a,58,J4,J4,J4
11,2,5,False,True,a nine,a,25,N2,N2,N2,nine,23,M2,K4,M2 -> M3 -> L4 -> K4
11,2,5,False,True,a nine,a,25,N2,N2,N2,nine,24,M2,M5,M2 -> M3 -> L4 -> M5
3,2,3,False,False,a in,a,25,N2,N2,N2,in,47,M3,M2,M3 -> M2
3,2,3,False,False,a in,a,25,N2,N2,N2,in,48,M3,L4,M3 -> L4
10,2,6,False,True,at nine,at,26,N2,N1,N2 -> N1,nine,23,M2,K4,M2 -> M3 -> L4 -> K4
10,2,6,False,True,at nine,at,26,N2,N1,N2 -> N1,nine,24,M2,M5,M2 -> M3 -> L4 -> M5
7,2,4,True,False,an go,an,27,N2,M2,N2 -> M2,go,22,L2,K3,L2 -> K3
3,2,4,False,False,an at,an,27,N2,M2,N2 -> M2,at,9,L1,K2,L1 -> K2
3,2,4,False,False,an in,an,27,N2,M2,N2 -> M2,in,48,M3,L4,M3 -> L4
3,2,3,False,False,an a,an,27,N2,M2,N2 -> M2,a,8,L1,L1,L1
13,2,8,False,True,three end,three,28,C3,B3,C3 -> B2 -> A1 -> A2 -> B3,end,53,C4,D4,C4 -> C5 -> D4
13,2,8,False,True,three end,three,28,C3,B3,C3 -> B2 -> A1 -> A2 -> B3,end,54,C4,D4,C4 -> D5 -> D4
12,2,8,True,True,three get,three,28,C3,B3,C3 -> B2 -> A1 -> A2 -> B3,get,50,B4,B5,B4 -> A4 -> B5
12,2,8,True,True,three get,three,28,C3,B3,C3 -> B2 -> A1 -> A2 -> B3,get,52,B4,B5,B4 -> C4 -> B5
10,2,7,True,False,then get,then,30,C3,A3,C3 -> B2 -> A2 -> A3,get,50,B4,B5,B4 -> A4 -> B5
10,2,7,True,False,then get,then,30,C3,A3,C3 -> B2 -> A2 -> A3,get,52,B4,B5,B4 -> C4 -> B5
17,2,8,False,True,three ten,three,32,C3,A4,C3 -> B2 -> C2 -> B3 -> A4,ten,62,B5,C5,B5 -> C4 -> C5
17,2,8,False,True,three ten,three,32,C3,A4,C3 -> B2 -> C2 -> B3 -> A4,ten,63,B5,D5,B5 -> C4 -> D5
12,2,8,True,True,three get,three,32,C3,A4,C3 -> B2 -> C2 -> B3 -> A4,get,52,B4,B5,B4 -> C4 -> B5
8,2,7,False,True,three to,three,32,C3,A4,C3 -> B2 -> C2 -> B3 -> A4,to,64,B5,A6,B5 -> A6
17,2,8,False,True,three ten,three,33,C3,C4,C3 -> B2 -> C2 -> B3 -> C4,ten,61,B5,A3,B5 -> A4 -> A3
12,2,8,True,True,three get,three,33,C3,C4,C3 -> B2 -> C2 -> B3 -> C4,get,50,B4,B5,B4 -> A4 -> B5
8,2,7,False,True,three to,three,33,C3,C4,C3 -> B2 -> C2 -> B3 -> C4,to,64,B5,A6,B5 -> A6
11,2,6,False,True,the end,the,34,C3,B3,C3 -> B2 -> B3,end,53,C4,D4,C4 -> C5 -> D4
11,2,6,False,True,the end,the,34,C3,B3,C3 -> B2 -> B3,end,54,C4,D4,C4 -> D5 -> D4
7,2,6,True,False,the get,the,34,C3,B3,C3 -> B2 -> B3,get,50,B4,B5,B4 -> A4 -> B5
7,2,6,True,False,the get,the,34,C3,B3,C3 -> B2 -> B3,get,52,B4,B5,B4 -> C4 -> B5
10,2,7,True,False,then get,then,35,C3,A3,C3 -> B2 -> B3 -> A3,get,50,B4,B5,B4 -> A4 -> B5
10,2,7,True,False,then get,then,35,C3,A3,C3 -> B2 -> B3 -> A3,get,52,B4,B5,B4 -> C4 -> B5
12,2,6,True,True,ten get,ten,36,C3,A3,C3 -> B3 -> A3,get,50,B4,B5,B4 -> A4 -> B5
12,2,6,True,True,ten get,ten,36,C3,A3,C3 -> B3 -> A3,get,52,B4,B5,B4 -> C4 -> B5
17,2,11,False,True,ten hundreds,ten,37,C3,C5,C3 -> C4 -> C5,hundreds,79,B6,B1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1 -> B1
17,2,10,True,True,ten hundred,ten,37,C3,C5,C3 -> C4 -> C5,hundred,78,B6,C1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1
17,2,6,False,True,ten ten,ten,37,C3,C5,C3 -> C4 -> C5,ten,61,B5,A3,B5 -> A4 -> A3
12,2,6,True,True,ten get,ten,37,C3,C5,C3 -> C4 -> C5,get,50,B4,B5,B4 -> A4 -> B5
12,2,5,False,True,ten up,ten,37,C3,C5,C3 -> C4 -> C5,up,80,C6,D7,C6 -> D7
8,2,5,False,True,ten to,ten,37,C3,C5,C3 -> C4 -> C5,to,64,B5,A6,B5 -> A6
8,2,5,False,True,ten in,ten,37,C3,C5,C3 -> C4 -> C5,in,88,D6,D5,D6 -> D5
8,2,5,False,True,ten in,ten,37,C3,C5,C3 -> C4 -> C5,in,89,D6,E6,D6 -> E6
8,2,5,False,True,ten in,ten,37,C3,C5,C3 -> C4 -> C5,in,90,D6,C7,D6 -> C7
17,2,11,False,True,ten integers,ten,38,C3,D5,C3 -> C4 -> D5,integers,83,D6,B1,D6 -> C5 -> B5 -> A4 -> B4 -> B3 -> C2 -> B1
17,2,10,False,True,ten integer,ten,38,C3,D5,C3 -> C4 -> D5,integer,82,D6,C2,D6 -> C5 -> B5 -> A4 -> B4 -> B3 -> C2
12,2,5,False,True,ten up,ten,38,C3,D5,C3 -> C4 -> D5,up,80,C6,D7,C6 -> D7
8,2,5,False,True,ten in,ten,38,C3,D5,C3 -> C4 -> D5,in,81,D6,C5,D6 -> C5
8,2,5,False,True,ten in,ten,38,C3,D5,C3 -> C4 -> D5,in,89,D6,E6,D6 -> E6
8,2,5,False,True,ten in,ten,38,C3,D5,C3 -> C4 -> D5,in,90,D6,C7,D6 -> C7
8,2,4,False,True,ten a,ten,38,C3,D5,C3 -> C4 -> D5,a,55,E4,E4,E4
3,2,4,False,False,a and,a,39,F3,F3,F3,and,57,E4,D4,E4 -> D5 -> D4
3,2,3,False,False,a of,a,39,F3,F3,F3,of,11,F2,E1,F2 -> E1
3,2,3,False,False,a on,a,39,F3,F3,F3,on,12,F2,G1,F2 -> G1
3,2,3,False,False,a an,a,39,F3,F3,F3,an,56,E4,D5,E4 -> D5
3,2,2,False,False,a a,a,39,F3,F3,F3,a,55,E4,E4,E4
15,2,5,True,False,get an,get,40,J3,I1,J3 -> I2 -> I1,an,14,H2,G1,H2 -> G1
15,2,4,True,False,get a,get,40,J3,I1,J3 -> I2 -> I1,a,13,H2,H2,H2
11,2,6,True,False,get and,get,40,J3,I1,J3 -> I2 -> I1,and,15,H2,H1,H2 -> G1 -> H1
11,2,6,True,False,get and,get,40,J3,I1,J3 -> I2 -> I1,and,16,H2,G2,H2 -> G1 -> G2
15,2,5,True,False,get an,get,41,J3,I1,J3 -> J2 -> I1,an,14,H2,G1,H2 -> G1
15,2,4,True,False,get a,get,41,J3,I1,J3 -> J2 -> I1,a,13,H2,H2,H2
11,2,6,True,False,get and,get,41,J3,I1,J3 -> J2 -> I1,and,15,H2,H1,H2 -> G1 -> H1
11,2,6,True,False,get and,get,41,J3,I1,J3 -> J2 -> I1,and,16,H2,G2,H2 -> G1 -> G2
16,2,6,True,True,get one,get,42,J3,K2,J3 -> J2 -> K2,one,45,K3,K4,K3 -> L4 -> K4
16,2,6,True,True,get one,get,42,J3,K2,J3 -> J2 -> K2,one,46,K3,M5,K3 -> L4 -> M5
15,2,5,True,False,get go,get,42,J3,K2,J3 -> J2 -> K2,go,22,L2,K3,L2 -> K3
15,2,5,True,False,get an,get,42,J3,K2,J3 -> J2 -> K2,an,10,L1,M2,L1 -> M2
15,2,4,True,False,get a,get,42,J3,K2,J3 -> J2 -> K2,a,8,L1,L1,L1
11,2,5,True,False,get on,get,42,J3,K2,J3 -> J2 -> K2,on,44,K3,L4,K3 -> L4
16,2,5,True,True,go end,go,43,J3,K3,J3 -> K3,end,59,K4,K5,K4 -> L4 -> K5
16,2,5,True,True,go end,go,43,J3,K3,J3 -> K3,end,60,K4,K5,K4 -> L5 -> K5
15,2,5,True,False,go the,go,43,J3,K3,J3 -> K3,the,18,K2,I2,K2 -> J1 -> I2
15,2,5,True,False,go the,go,43,J3,K3,J3 -> K3,the,19,K2,J2,K2 -> J1 -> J2
15,2,3,True,False,go a,go,43,J3,K3,J3 -> K3,a,58,J4,J4,J4
10,2,5,False,True,on end,on,44,K3,L4,K3 -> L4,end,60,K4,K5,K4 -> L5 -> K5
10,2,5,False,True,on end,on,44,K3,L4,K3 -> L4,end,75,M5,K5,M5 -> L5 -> K5
3,2,4,False,False,on in,on,44,K3,L4,K3 -> L4,in,47,M3,M2,M3 -> M2
12,2,6,True,True,one get,one,45,K3,K4,K3 -> L4 -> K4,get,40,J3,I1,J3 -> I2 -> I1
12,2,6,True,True,one get,one,45,K3,K4,K3 -> L4 -> K4,get,41,J3,I1,J3 -> J2 -> I1
12,2,6,True,True,one get,one,45,K3,K4,K3 -> L4 -> K4,get,42,J3,K2,J3 -> J2 -> K2
8,2,5,False,True,one in,one,45,K3,K4,K3 -> L4 -> K4,in,73,J5,J6,J5 -> J6
8,2,4,False,True,one a,one,45,K3,K4,K3 -> L4 -> K4,a,58,J4,J4,J4
7,2,4,True,False,in go,in,47,M3,M2,M3 -> M2,go,22,L2,K3,L2 -> K3
5,2,3,False,False,in a,in,47,M3,M2,M3 -> M2,a,8,L1,L1,L1
5,2,3,False,False,in a,in,47,M3,M2,M3 -> M2,a,25,N2,N2,N2
3,2,4,False,False,in at,in,47,M3,M2,M3 -> M2,at,9,L1,K2,L1 -> K2
3,2,4,False,False,in at,in,47,M3,M2,M3 -> M2,at,26,N2,N1,N2 -> N1
10,2,5,False,True,in end,in,48,M3,L4,M3 -> L4,end,60,K4,K5,K4 -> L5 -> K5
10,2,5,False,True,in end,in,48,M3,L4,M3 -> L4,end,75,M5,K5,M5 -> L5 -> K5
16,2,6,True,True,get end,get,49,B4,C3,B4 -> B3 -> C3,end,53,C4,D4,C4 -> C5 -> D4
16,2,6,True,True,get end,get,49,B4,C3,B4 -> B3 -> C3,end,54,C4,D4,C4 -> D5 -> D4
19,2,5,True,False,get up,get,50,B4,B5,B4 -> A4 -> B5,up,80,C6,D7,C6 -> D7
16,2,11,True,True,get nineteen,get,50,B4,B5,B4 -> A4 -> B5,nineteen,66,C5,A3,C5 -> D6 -> D5 -> C4 -> C3 -> B3 -> A2 -> A3
16,2,11,True,True,get hundreds,get,50,B4,B5,B4 -> A4 -> B5,hundreds,77,B6,B1,B6 -> C6 -> C5 -> D4 -> D3 -> D2 -> C1 -> B1
16,2,11,True,True,get hundreds,get,50,B4,B5,B4 -> A4 -> B5,hundreds,79,B6,B1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1 -> B1
16,2,10,True,True,get hundred,get,50,B4,B5,B4 -> A4 -> B5,hundred,76,B6,C1,B6 -> C6 -> C5 -> D4 -> D3 -> D2 -> C1
16,2,10,True,True,get hundred,get,50,B4,B5,B4 -> A4 -> B5,hundred,78,B6,C1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1
16,2,7,True,True,get nine,get,50,B4,B5,B4 -> A4 -> B5,nine,65,C5,C4,C5 -> D6 -> D5 -> C4
16,2,6,True,True,get end,get,50,B4,B5,B4 -> A4 -> B5,end,53,C4,D4,C4 -> C5 -> D4
16,2,6,True,True,get end,get,50,B4,B5,B4 -> A4 -> B5,end,54,C4,D4,C4 -> D5 -> D4
19,2,5,True,False,get up,get,52,B4,B5,B4 -> C4 -> B5,up,80,C6,D7,C6 -> D7
16,2,11,True,True,get hundreds,get,52,B4,B5,B4 -> C4 -> B5,hundreds,77,B6,B1,B6 -> C6 -> C5 -> D4 -> D3 -> D2 -> C1 -> B1
16,2,11,True,True,get hundreds,get,52,B4,B5,B4 -> C4 -> B5,hundreds,79,B6,B1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1 -> B1
16,2,10,True,True,get hundred,get,52,B4,B5,B4 -> C4 -> B5,hundred,76,B6,C1,B6 -> C6 -> C5 -> D4 -> D3 -> D2 -> C1
16,2,10,True,True,get hundred,get,52,B4,B5,B4 -> C4 -> B5,hundred,78,B6,C1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1
13,2,8,False,True,end three,end,53,C4,D4,C4 -> C5 -> D4,three,28,C3,B3,C3 -> B2 -> A1 -> A2 -> B3
